,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
0,0,0.8013172338090011,0.8027322404371585,0.8002159827213823,0.8059233801677954,0.8035277764463404,668,167,167,923,1925
1,1,0.7984113941385922,0.8194594594594594,0.8052910052910053,0.8002416431735804,0.8017545532564126,334,85,85,467,971
2,2,0.8039867109634552,0.8021390374331551,0.7862433862433862,0.8011193284029582,0.8008575512148642,334,85,85,467,971
3,3,0.8080393765381461,0.7972251867662753,0.8102893890675241,0.8188376753507014,0.8123989730911857,334,85,85,467,971
4,4,0.8022337237809861,0.7813504823151125,0.8175026680896478,0.8083748753738783,0.8046608563849943,334,85,85,467,971
5,5,0.8007652364033889,0.8156484458735263,0.7915343915343915,0.8086939102564102,0.8050147212460822,334,85,85,467,971
6,6,0.80553295362083,0.8118918918918919,0.7859424920127795,0.8076,0.805326509335608,334,85,85,467,971
7,7,0.7892730737816499,0.7920685959271169,0.8089647812166488,0.8025260625501203,0.7975500902098566,334,85,85,467,971
8,8,0.806389950846532,0.7860215053763441,0.7910922587486744,0.8097902097902098,0.8048387096774193,334,85,85,467,971
9,9,0.7945652173913044,0.7777777777777778,0.7880085653104925,0.7994428969359332,0.7948329705687518,334,85,85,467,971
10,10,0.7986852917009039,0.807897545357524,0.8087141339001063,0.8045792327776662,0.8031975637609441,334,85,85,467,971
11,11,0.8081926376972045,0.7644539614561028,0.8128964059196617,0.8082109076272892,0.8047218505065953,334,85,85,467,971
12,12,0.8034398034398035,0.8178879310344828,0.7972103004291845,0.8025528520143598,0.8037392047072222,334,85,85,467,971
13,13,0.8034682080924855,0.7983014861995754,0.7835269271383316,0.8065356856455493,0.8026641294005709,334,85,85,467,971
14,14,0.8022583310382815,0.798087141339001,0.7853403141361257,0.8082631367829923,0.8031960429943878,334,85,85,467,971
15,15,0.8099447513812155,0.790547798066595,0.801906779661017,0.7897693079237713,0.7979007633587786,334,85,85,467,971
16,16,0.8066832366749517,0.8155650319829424,0.7895855472901169,0.803702966354768,0.8045234248788369,334,85,85,467,971
17,17,0.790052212146194,0.8021621621621622,0.7802547770700637,0.7939527432919503,0.7920952380952381,334,85,85,467,971
18,18,0.8019856591285163,0.7928416485900217,0.7874601487778958,0.8038152610441767,0.8007450568344636,334,85,85,467,971
19,19,0.8084343991179713,0.7806176783812566,0.816916488222698,0.8062512522540572,0.8056614563476935,334,85,85,467,971
20,20,0.8054410552349547,0.8258977149075082,0.7667020148462355,0.7988725588886652,0.8006304929308369,334,85,85,467,971
21,21,0.8044554455445545,0.7929184549356223,0.8123667377398721,0.8147187873952931,0.8090304182509506,334,85,85,467,971
22,22,0.7991230474102494,0.7920258620689655,0.8353067814854682,0.8098745769460481,0.8068192610884225,334,85,85,467,971
23,23,0.7877717391304347,0.7982646420824295,0.793836344314559,0.7927982297324482,0.7916111850865513,334,85,85,467,971
24,24,0.7869076965215009,0.8182784272051009,0.7808807733619764,0.8065226090436175,0.7984982416120141,334,85,85,467,971
25,25,0.801923076923077,0.7935135135135135,0.7833511205976521,0.8079536370903277,0.8023986293546544,334,85,85,467,971
26,26,0.8141150319533204,0.7909967845659164,0.8083511777301927,0.8080143540669856,0.8086243083381034,334,85,85,467,971
27,27,0.8032117583015786,0.807733619763695,0.7654584221748401,0.8045399758939333,0.8008744415930045,334,85,85,467,971
28,28,0.8032293377120964,0.7933261571582346,0.7957671957671958,0.8058426073131956,0.8029356060606061,334,85,85,467,971
29,29,0.8094059405940595,0.7731629392971247,0.7919320594479831,0.8061752988047809,0.8030748789978173,334,85,85,467,971
30,30,0.8059291792478727,0.8147345612134345,0.8216159496327388,0.8052256532066508,0.8077759909185508,334,85,85,467,971
31,31,0.8092896174863388,0.808487486398259,0.8255813953488372,0.8062910611188533,0.8092529389457717,334,85,85,467,971
32,32,0.7908371966184893,0.7986942328618063,0.8068669527896996,0.8107673764564082,0.8024009146341463,334,85,85,467,971
33,33,0.8047256925583922,0.8238453276047261,0.798936170212766,0.7997187625552431,0.8035324280695091,334,85,85,467,971
34,34,0.799129014697877,0.7934426229508197,0.8221512247071352,0.8009659891326223,0.801562351147947,334,85,85,467,971
35,35,0.7894736842105263,0.8114224137931034,0.8145416227608009,0.803135542766422,0.800189663347558,334,85,85,467,971
36,36,0.7992288625722941,0.7864693446088795,0.7854889589905363,0.7966169154228856,0.7956031460248271,334,85,85,467,971
37,37,0.8077342047930284,0.7890792291220556,0.793836344314559,0.7957831325301205,0.7991830531015484,334,85,85,467,971
38,38,0.8044541010320478,0.7823275862068966,0.8376690946930281,0.8081918081918081,0.8072995461422088,334,85,85,467,971
39,39,0.8064516129032258,0.80343716433942,0.8078141499472017,0.8058040151063407,0.8059984813971146,334,85,85,467,971
40,40,0.8105956629151798,0.8018967334035827,0.810272536687631,0.8081534772182254,0.8086255924170616,334,85,85,467,971
41,41,0.7992938620315047,0.8333333333333334,0.8035902851108765,0.7975362606795152,0.8018137162289817,334,85,85,467,971
42,42,0.8115197404002163,0.801906779661017,0.8052910052910053,0.8049554013875124,0.8069977426636569,334,85,85,467,971
43,43,0.791894852135816,0.8230852211434736,0.7924130663856691,0.812200956937799,0.8043437025796661,334,85,85,467,971
44,44,0.8028555738605162,0.8390557939914163,0.7848232848232848,0.8089414595028067,0.8072976054732041,334,85,85,467,971
45,45,0.7937195452084461,0.7952069716775599,0.799575821845175,0.8144950813089741,0.8041951404707669,334,85,85,467,971
46,46,0.794392523364486,0.792152704135737,0.812433011789925,0.8079855537720706,0.8022480472470946,334,85,85,467,971
47,47,0.8088718510405257,0.7952329360780065,0.8093716719914803,0.8086592178770949,0.8076192285768573,334,85,85,467,971
48,48,0.8016393442622951,0.8134328358208955,0.806998939554613,0.8048390321935612,0.8046860178334282,334,85,85,467,971
49,49,0.7911997813610276,0.8148546824542519,0.8109820485744457,0.8066320415501398,0.802390665022294,334,85,85,467,971
50,50,0.8003870611003594,0.82409381663113,0.7844374342797056,0.8050779688124751,0.8032927293490674,334,85,85,467,971
51,51,0.7894162575013639,0.7951167728237792,0.8218884120171673,0.8111355898257561,0.8030950346529954,334,85,85,467,971
52,52,0.7862200435729847,0.8207847295864263,0.8033826638477801,0.8136372725454909,0.8038250331376633,334,85,85,467,971
