,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
0,0,0.8013172338090011,0.8027322404371585,0.8002159827213823,0.8059233801677954,0.8035277764463404,668,167,167,923,1925
1,1,0.8065106071689832,0.8027322404371585,0.8002159827213823,0.8037725607273715,0.8041649010230644,499,167,167,689,1522
2,2,0.7992653810835629,0.8027322404371585,0.8002159827213823,0.8107007061379685,0.8048632587471954,499,167,167,689,1522
3,3,0.7978684307239985,0.8027322404371585,0.8002159827213823,0.8129427792915531,0.8053935860058309,499,167,167,689,1522
4,4,0.8056013179571664,0.8027322404371585,0.8002159827213823,0.8131793478260869,0.8080581641926688,499,167,167,689,1522
5,5,0.8055967383246849,0.8027322404371585,0.8002159827213823,0.8021948245495191,0.8031472142900541,499,167,167,689,1522
6,6,0.8041727672035139,0.8027322404371585,0.8002159827213823,0.813058791655378,0.8075387221684415,499,167,167,689,1522
7,7,0.7952161913523459,0.8027322404371585,0.8002159827213823,0.8107046070460705,0.8035400375825907,499,167,167,689,1522
8,8,0.8044682422451994,0.8027322404371585,0.8002159827213823,0.8065609326284398,0.8047344461305007,499,167,167,689,1522
9,9,0.7982087369767867,0.8027322404371585,0.8002159827213823,0.8045633573271764,0.8017679825623638,499,167,167,689,1522
10,10,0.8048870108396106,0.8027322404371585,0.8002159827213823,0.8071895424836601,0.8051490679458376,499,167,167,689,1522
11,11,0.8070981978668628,0.8027322404371585,0.8002159827213823,0.8091510325280065,0.8067638695625869,499,167,167,689,1522
12,12,0.8048241576136992,0.8027322404371585,0.8002159827213823,0.8088474025974026,0.8058770069675856,499,167,167,689,1522
13,13,0.8017653549098933,0.8027322404371585,0.8002159827213823,0.8055968635933487,0.803414663679845,499,167,167,689,1522
14,14,0.8027573529411764,0.8027322404371585,0.8002159827213823,0.8042328042328042,0.8031286000121264,499,167,167,689,1522
15,15,0.7987421383647799,0.8027322404371585,0.8002159827213823,0.8059762033531639,0.8025964571705897,499,167,167,689,1522
16,16,0.8006644518272426,0.8027322404371585,0.8002159827213823,0.8094267861994023,0.8047624832948609,499,167,167,689,1522
17,17,0.7997781475318912,0.8027322404371585,0.8002159827213823,0.8082117774176121,0.803940588056987,499,167,167,689,1522
18,18,0.7925804093567251,0.8027322404371585,0.8002159827213823,0.8048417635921017,0.8000362581580855,499,167,167,689,1522
19,19,0.806959706959707,0.8027322404371585,0.8002159827213823,0.8108035111411208,0.8074575451743519,499,167,167,689,1522
